fid,id,nb_points,x,y,h,lat,lon,z,gnd_elev,min_h,delta_h,avg_intensity,source,validity,is_outlier,is_windmill,windmill_h,windmill_id,windmill_status,windmill_stand,in_nrw,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,eTOD_dist,eTOD_x,eTOD_y,AIP_issue,ALS_issue,processed_on,ALS_comment,AIP_comment,free_comment,view_available,object_type,OSINT,duplicate,2D_embed_link,3D_embed_link
"633",01.03.69,"460",348169.45,5660401.41,121.1275,51.07501447,6.832629677,165.44,44.3125,60.00999817,61.11750183,31120.03478,3dm_32_348_5660_1_nw.laz,2022-02,false,false,,,,,true,false,,,,,,,,true,false,,,missing,,true,smoke stack,,false,https://dme-3.github.io/Obstacles-Map/embeds/1.3.69-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/1.3.69-3D.html
"635",03.03.69,"836",508609.9925,5813420.273,152.8049994,52.47087441,9.126748499,189.79,36.98500061,87.04249954,65.76249985,37226.58134,3dm_32_508_5813_1_nw.laz,2023-03,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"706",03.01.74,"33573",459950.8861,5692164.338,118.2649963,51.37924301,8.424589278,438.8,320.5350037,60.00251465,58.26248169,170.6760194,3dm_32_459_5692_1_nw.laz,2021-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,Talbrücke Nuttlar,true,bridge or bridge pillar,https://de.wikipedia.org/wiki/Talbrücke_Nuttlar,false,https://dme-3.github.io/Obstacles-Map/embeds/3.1.74-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.74-3D.html
"779",01.01.79,"763",316025.6567,5577167.44,150.6624756,50.31786681,6.415713528,731.5,580.8375244,60.21001709,90.4524585,137.3695937,3dm_32_316_5577_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"781",03.01.79,"52348",428947.8065,5725581.991,115.1999985,51.67670862,7.972405377,181.35,66.15000153,60.00000183,55.19999664,300.6298235,3dm_32_428_5725_1_nw.laz,2018-02,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,building,,false,https://dme-3.github.io/Obstacles-Map/embeds/3.1.79-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.79-3D.html
"796",03.01.80,"603",453706.7317,5719780.482,115.1899997,51.62714098,8.331200807,208.62,93.43000031,60.00999969,55.18,139.8971808,3dm_32_453_5719_1_nw.laz,2018-02,false,false,,,,,true,false,,,,,,,,false,true,2024/02/08 00:00:00,temporary object (e.g. crane),,,true,,,false,https://dme-3.github.io/Obstacles-Map/embeds/3.1.80-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.80-3D.html
"809",01.01.81,"556",316285.2933,5577704.523,150.2775171,50.32277197,6.419091471,730.51,580.2324829,60.20999268,90.06752441,158.0791367,3dm_32_316_5577_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"826",03.01.82,"1299",460030.4809,5691995.805,113.8800098,51.37778814,8.425659857,431.37,317.4899902,79.24250977,34.6375,77.40184758,3dm_32_460_5691_1_nw.laz,2021-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,electricity cable,,false,https://dme-3.github.io/Obstacles-Map/embeds/3.1.82-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.82-3D.html
"839",01.01.83,"650",316528.08,5577631.933,149.1349927,50.32219374,6.422515068,718.83,569.6950073,60.00750244,89.12749023,137.8353846,3dm_32_316_5577_1_nw.laz,2021-12,false,false,,,,,false,false,,,,,,,,,,,,,,false,,,,,
"871",03.01.85,"3106",460044.2473,5692002.399,112.8274976,51.3778439,8.425844511,431.83,319.0025024,60.00249268,52.82500488,77.21377978,3dm_32_460_5692_1_nw.laz,2021-03,false,false,,,,,true,false,,,,,,,,true,false,2024/02/08 00:00:00,,missing,,true,electricity cable,,true,https://dme-3.github.io/Obstacles-Map/embeds/3.1.85-2D.html,https://dme-3.github.io/Obstacles-Map/embeds/3.1.85-3D.html
